epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,673.146,1.68885,0.83613,0.92668,0.86795,0.84462,0.85394,0.42413,1.81956,0.8374,0.97266,0.00076482,0.00076482,0.00076482
84,681.164,1.75863,0.81307,0.97026,0.71691,0.77829,0.72657,0.35153,2.10467,0.9797,1.00111,0.000753817,0.000753817,0.000753817
85,689.887,1.94161,0.90134,1.00388,0.80828,0.8349,0.83499,0.42168,1.84256,0.83926,0.98466,0.000742815,0.000742815,0.000742815
86,697.858,1.59725,0.76648,0.86172,0.84716,0.76089,0.80349,0.42332,1.84928,0.84982,0.98163,0.000731813,0.000731813,0.000731813
87,705.835,1.63158,0.73658,0.92465,0.83626,0.79174,0.77649,0.38917,1.9506,0.89953,0.99817,0.000720811,0.000720811,0.000720811
88,713.81,1.61037,0.75212,0.89635,0.84241,0.74536,0.79539,0.39235,1.86812,0.96285,0.99118,0.000709809,0.000709809,0.000709809
89,721.807,1.59392,0.7265,0.95668,0.82358,0.80781,0.83275,0.40189,1.88683,0.82736,0.9967,0.000698806,0.000698806,0.000698806
90,729.817,1.67125,0.73562,0.9398,0.80788,0.81169,0.79208,0.42692,1.82196,0.84106,0.97904,0.000687804,0.000687804,0.000687804
91,737.79,1.59942,0.74669,0.92474,0.82909,0.78645,0.81874,0.45367,1.81266,1.09796,0.95217,0.000676802,0.000676802,0.000676802
92,746.268,1.74412,0.87582,0.95494,0.86715,0.74814,0.79774,0.41099,1.83665,2.88627,0.94508,0.0006658,0.0006658,0.0006658
93,754.292,1.62872,0.7287,0.90557,0.78672,0.78248,0.81115,0.42231,1.83568,0.89664,0.94332,0.000654798,0.000654798,0.000654798
94,762.335,1.85576,0.8243,0.9617,0.83522,0.76764,0.75041,0.37451,1.96419,0.86814,1.05724,0.000643795,0.000643795,0.000643795
95,770.291,1.51807,0.72279,0.85065,0.84042,0.83952,0.84584,0.4339,1.80423,0.84658,0.98317,0.000632793,0.000632793,0.000632793
96,778.276,1.64981,0.74393,0.90803,0.8497,0.79128,0.82484,0.39988,1.95551,0.92507,1.01685,0.000621791,0.000621791,0.000621791
97,786.291,1.79083,0.7837,1.16667,0.85145,0.84462,0.86898,0.43451,1.80986,0.8191,0.98496,0.000610789,0.000610789,0.000610789
98,794.334,1.65245,0.74981,0.92255,0.81609,0.81773,0.81553,0.38235,1.9685,0.92162,0.97583,0.000599787,0.000599787,0.000599787
99,802.361,1.5686,0.74303,0.97977,0.85408,0.79956,0.82165,0.40988,1.86851,0.83053,0.9766,0.000588784,0.000588784,0.000588784
100,810.439,1.75392,0.82979,0.99703,0.81004,0.81401,0.80863,0.41065,1.94145,0.8525,0.98112,0.000577782,0.000577782,0.000577782
